shares,node_share,technology,mode,year_act,time,value,unit
cofire_penetration,R12_NAM,coal_ppl_u,M2,2080,year,0.4,%
cofire_penetration,R12_NAM,coal_ppl_u,M2,2090,year,0.4,%
cofire_penetration,R12_NAM,coal_ppl_u,M2,2100,year,0.4,%
cofire_penetration,R12_NAM,coal_ppl_u,M2,2110,year,0.4,%
cofire_penetration,R12_SAS,coal_ppl_u,M2,2025,year,0.4,%
cofire_penetration,R12_SAS,coal_ppl_u,M2,2030,year,0.4,%
cofire_penetration,R12_SAS,coal_ppl_u,M2,2035,year,0.4,%
cofire_penetration,R12_SAS,coal_ppl_u,M2,2040,year,0.4,%
cofire_penetration,R12_SAS,coal_ppl_u,M2,2045,year,0.4,%
cofire_penetration,R12_SAS,coal_ppl_u,M2,2050,year,0.4,%
cofire_penetration,R12_SAS,coal_ppl_u,M2,2055,year,0.4,%
cofire_penetration,R12_SAS,coal_ppl_u,M2,2060,year,0.4,%
cofire_penetration,R12_SAS,coal_ppl_u,M2,2070,year,0.4,%
cofire_penetration,R12_SAS,coal_ppl_u,M2,2080,year,0.4,%
cofire_penetration,R12_SAS,coal_ppl_u,M2,2090,year,0.4,%
cofire_penetration,R12_SAS,coal_ppl_u,M2,2100,year,0.4,%
cofire_penetration,R12_SAS,coal_ppl_u,M2,2110,year,0.4,%
cofire_penetration,R12_WEU,coal_ppl_u,M2,2025,year,0.4,%
cofire_penetration,R12_WEU,coal_ppl_u,M2,2030,year,0.4,%
cofire_penetration,R12_WEU,coal_ppl_u,M2,2035,year,0.4,%
cofire_penetration,R12_WEU,coal_ppl_u,M2,2040,year,0.4,%
cofire_penetration,R12_WEU,coal_ppl_u,M2,2045,year,0.4,%
cofire_penetration,R12_WEU,coal_ppl_u,M2,2050,year,0.4,%
cofire_penetration,R12_WEU,coal_ppl_u,M2,2055,year,0.4,%
cofire_penetration,R12_WEU,coal_ppl_u,M2,2060,year,0.4,%
cofire_penetration,R12_WEU,coal_ppl_u,M2,2070,year,0.4,%
cofire_penetration,R12_WEU,coal_ppl_u,M2,2080,year,0.4,%
cofire_penetration,R12_WEU,coal_ppl_u,M2,2090,year,0.4,%
cofire_penetration,R12_WEU,coal_ppl_u,M2,2100,year,0.4,%
cofire_penetration,R12_WEU,coal_ppl_u,M2,2110,year,0.4,%
cofire_penetration,R12_FSU,coal_ppl_u,M2,2025,year,0.4,%
cofire_penetration,R12_FSU,coal_ppl_u,M2,2030,year,0.4,%
cofire_penetration,R12_FSU,coal_ppl_u,M2,2035,year,0.4,%
cofire_penetration,R12_FSU,coal_ppl_u,M2,2040,year,0.4,%
cofire_penetration,R12_FSU,coal_ppl_u,M2,2045,year,0.4,%
cofire_penetration,R12_FSU,coal_ppl_u,M2,2050,year,0.4,%
cofire_penetration,R12_FSU,coal_ppl_u,M2,2055,year,0.4,%
cofire_penetration,R12_FSU,coal_ppl_u,M2,2060,year,0.4,%
cofire_penetration,R12_FSU,coal_ppl_u,M2,2070,year,0.4,%
cofire_penetration,R12_FSU,coal_ppl_u,M2,2080,year,0.4,%
cofire_penetration,R12_FSU,coal_ppl_u,M2,2090,year,0.4,%
cofire_penetration,R12_FSU,coal_ppl_u,M2,2100,year,0.4,%
cofire_penetration,R12_FSU,coal_ppl_u,M2,2110,year,0.4,%
cofire_penetration,R12_PAO,coal_ppl_u,M2,2025,year,0.4,%
cofire_penetration,R12_PAO,coal_ppl_u,M2,2030,year,0.4,%
cofire_penetration,R12_PAO,coal_ppl_u,M2,2035,year,0.4,%
cofire_penetration,R12_PAO,coal_ppl_u,M2,2040,year,0.4,%
cofire_penetration,R12_PAO,coal_ppl_u,M2,2045,year,0.4,%
cofire_penetration,R12_PAO,coal_ppl_u,M2,2050,year,0.4,%
cofire_penetration,R12_PAO,coal_ppl_u,M2,2055,year,0.4,%
cofire_penetration,R12_PAO,coal_ppl_u,M2,2060,year,0.4,%
cofire_penetration,R12_PAO,coal_ppl_u,M2,2070,year,0.4,%
cofire_penetration,R12_PAO,coal_ppl_u,M2,2080,year,0.4,%
cofire_penetration,R12_PAO,coal_ppl_u,M2,2090,year,0.4,%
cofire_penetration,R12_PAO,coal_ppl_u,M2,2100,year,0.4,%
cofire_penetration,R12_PAO,coal_ppl_u,M2,2110,year,0.4,%
cofire_penetration,R12_PAS,coal_ppl_u,M2,2025,year,0.4,%
cofire_penetration,R12_PAS,coal_ppl_u,M2,2030,year,0.4,%
cofire_penetration,R12_PAS,coal_ppl_u,M2,2035,year,0.4,%
cofire_penetration,R12_PAS,coal_ppl_u,M2,2040,year,0.4,%
cofire_penetration,R12_PAS,coal_ppl_u,M2,2045,year,0.4,%
cofire_penetration,R12_PAS,coal_ppl_u,M2,2050,year,0.4,%
cofire_penetration,R12_PAS,coal_ppl_u,M2,2055,year,0.4,%
cofire_penetration,R12_PAS,coal_ppl_u,M2,2060,year,0.4,%
cofire_penetration,R12_PAS,coal_ppl_u,M2,2070,year,0.4,%
cofire_penetration,R12_PAS,coal_ppl_u,M2,2080,year,0.4,%
cofire_penetration,R12_PAS,coal_ppl_u,M2,2090,year,0.4,%
cofire_penetration,R12_PAS,coal_ppl_u,M2,2100,year,0.4,%
cofire_penetration,R12_PAS,coal_ppl_u,M2,2110,year,0.4,%
cofire_penetration,R12_RCPA,coal_ppl_u,M2,2025,year,0.4,%
cofire_penetration,R12_RCPA,coal_ppl_u,M2,2030,year,0.4,%
cofire_penetration,R12_RCPA,coal_ppl_u,M2,2035,year,0.4,%
cofire_penetration,R12_RCPA,coal_ppl_u,M2,2040,year,0.4,%
cofire_penetration,R12_RCPA,coal_ppl_u,M2,2045,year,0.4,%
cofire_penetration,R12_RCPA,coal_ppl_u,M2,2050,year,0.4,%
cofire_penetration,R12_RCPA,coal_ppl_u,M2,2055,year,0.4,%
cofire_penetration,R12_RCPA,coal_ppl_u,M2,2060,year,0.4,%
cofire_penetration,R12_RCPA,coal_ppl_u,M2,2070,year,0.4,%
cofire_penetration,R12_RCPA,coal_ppl_u,M2,2080,year,0.4,%
cofire_penetration,R12_RCPA,coal_ppl_u,M2,2090,year,0.4,%
cofire_penetration,R12_RCPA,coal_ppl_u,M2,2100,year,0.4,%
cofire_penetration,R12_RCPA,coal_ppl_u,M2,2110,year,0.4,%
