node,technology,year_act,mode,time,type_addon,value,unit
R12_SAS,coal_ppl,2025,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2025,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2030,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2030,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2035,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2035,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2040,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2040,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2045,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2045,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2050,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2050,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2055,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2055,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2060,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2060,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2070,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2070,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2080,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2080,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2090,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2090,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2100,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2100,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2110,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl,2110,M3,year,coal_ppl_cfbio_addon,1,-
R12_SAS,coal_ppl_u,1960,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,1965,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,1970,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,1975,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,1980,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,1985,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,1990,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,1995,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2000,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2005,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2010,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2015,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2020,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2020,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2025,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2025,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2030,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2030,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2035,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2035,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2040,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2040,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2045,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2045,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2050,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2050,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2055,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2060,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2070,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2080,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2090,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2100,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_SAS,coal_ppl_u,2110,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_adv,1970,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,1975,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,1980,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,1985,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,1990,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,1995,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2000,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2005,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2010,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2015,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2020,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2025,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2030,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2035,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2040,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2045,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2050,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2055,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2060,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2070,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2080,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2090,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2100,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_adv,2110,M3,year,coal_adv_cfbio_addon,1,-
R12_WEU,coal_ppl,1960,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,1965,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,1970,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,1975,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,1980,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,1985,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,1990,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,1995,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,2000,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,2005,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,2010,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,2015,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,2020,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,2025,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,2030,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,2035,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,2040,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,2045,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,2050,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,2055,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,2060,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl,2070,M3,year,coal_ppl_cfbio_addon,1,-
R12_WEU,coal_ppl_u,1960,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,1965,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,1970,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,1975,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,1980,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,1985,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,1990,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,1995,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,2000,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,2005,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,2010,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,2015,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,2020,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,2025,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,2030,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,2035,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,2040,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,2045,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_WEU,coal_ppl_u,2050,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_adv,1965,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,1970,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,1975,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,1980,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,1985,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,1990,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,1995,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2000,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2005,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2010,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2015,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2020,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2025,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2030,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2035,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2040,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2045,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2050,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2055,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2060,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2070,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2080,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2090,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2100,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_adv,2110,M3,year,coal_adv_cfbio_addon,1,-
R12_FSU,coal_ppl,1965,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,1970,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,1975,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,1980,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,1985,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,1990,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,1995,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2000,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2005,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2010,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2015,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2020,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2025,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2030,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2035,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2040,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2045,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2050,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2055,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2060,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2070,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2080,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2090,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2100,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl,2110,M3,year,coal_ppl_cfbio_addon,1,-
R12_FSU,coal_ppl_u,1960,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,1965,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,1970,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,1975,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,1980,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,1985,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,1990,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,1995,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,2000,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,2005,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,2010,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,2015,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,2020,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,2025,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,2030,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,2035,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,2040,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,2045,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_FSU,coal_ppl_u,2050,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_adv,1985,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,1990,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,1995,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2000,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2005,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2010,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2015,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2020,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2025,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2030,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2035,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2040,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2045,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2050,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2055,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2060,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2070,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2080,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2090,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2100,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_adv,2110,M3,year,coal_adv_cfbio_addon,1,-
R12_PAO,coal_ppl,1965,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,1970,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,1975,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,1980,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,1985,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,1990,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,1995,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,2000,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,2005,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,2010,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,2015,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,2020,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,2025,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,2030,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,2035,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,2040,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,2045,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,2050,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,2055,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,2060,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl,2070,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAO,coal_ppl_u,1960,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,1965,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,1970,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,1975,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,1980,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,1985,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,1990,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,1995,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,2000,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,2005,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,2010,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,2015,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,2020,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,2025,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,2030,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,2035,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,2040,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,2045,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAO,coal_ppl_u,2050,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAS,coal_adv,1995,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2000,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2005,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2010,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2015,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2020,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2020,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2025,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2025,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2030,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2030,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2035,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2035,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2040,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2040,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2045,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2045,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2050,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2050,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2055,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2055,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2060,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2060,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2070,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2070,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2080,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2080,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2090,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2090,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2100,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2100,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2110,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_adv,2110,M3,year,coal_adv_cfbio_addon,1,-
R12_PAS,coal_ppl,1970,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,1975,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,1980,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,1985,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,1990,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,1995,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2000,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2005,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2010,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2015,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2020,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2020,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2025,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2025,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2030,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2030,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2035,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2035,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2040,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2040,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2045,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2045,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2050,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2050,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2055,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2055,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2060,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2060,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2070,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2070,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2080,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2080,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2090,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2090,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2100,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2100,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2110,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl,2110,M3,year,coal_ppl_cfbio_addon,1,-
R12_PAS,coal_ppl_u,1965,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAS,coal_ppl_u,1970,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAS,coal_ppl_u,1975,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAS,coal_ppl_u,1980,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAS,coal_ppl_u,1985,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAS,coal_ppl_u,1990,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAS,coal_ppl_u,1995,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAS,coal_ppl_u,2000,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAS,coal_ppl_u,2005,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAS,coal_ppl_u,2010,M3,year,coal_ppl_u_cfbio_addon,1,-
R12_PAS,coal_ppl_u,2015,M3,year,coal_ppl_u_cfbio_addon,1,-
